"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",4.81597,45.76705
1,"PRESENCE",4.82688,45.56216
1,"PRESENCE",4.72406,46.29343
1,"PRESENCE",4.75146,45.76094
1,"PRESENCE",7.34139,46.25389
1,"PRESENCE",7.874773,47.974877
1,"PRESENCE",7.208082,50.274899
1,"PRESENCE",8.39295,47.05956
1,"PRESENCE",12.041552,54.174989
1,"PRESENCE",2.45086,42.76314
1,"PRESENCE",2.57355,42.67378
1,"PRESENCE",5.72591,45.589
1,"PRESENCE",5.3702,46.27273
1,"PRESENCE",2.43244,44.65265
1,"PRESENCE",3.1932,45.82447
1,"PRESENCE",3.1672,45.76325
1,"PRESENCE",0.2588413,42.018893
1,"PRESENCE",2.05711,44.47003
1,"PRESENCE",7.05083,43.75502
1,"PRESENCE",7.03747,43.76922
1,"PRESENCE",8.46565,47.41875
1,"PRESENCE",8.59717,47.37253
1,"PRESENCE",8.53098,47.37317
1,"PRESENCE",6.37806,45.23331
1,"PRESENCE",6.55384,46.83521
1,"PRESENCE",2.42262,42.55795
1,"PRESENCE",2.45255,42.58333
1,"PRESENCE",2.81695,42.76439
1,"PRESENCE",2.57551,42.4041
1,"PRESENCE",2.55747,42.38281
1,"PRESENCE",2.62598,42.44955
1,"PRESENCE",2.58802,42.64474
1,"PRESENCE",2.41417,42.71495
1,"PRESENCE",6.6257,45.60864
1,"PRESENCE",6.65626,45.58512
1,"PRESENCE",6.37262,45.14335
1,"PRESENCE",6.62682,45.13537
1,"PRESENCE",6.40303,45.11989
1,"PRESENCE",6.52242,45.49925
1,"PRESENCE",6.55296,45.47575
1,"PRESENCE",6.63267,45.22532
1,"PRESENCE",6.66301,45.20179
1,"PRESENCE",6.36443,46.47373
1,"PRESENCE",6.49305,46.56484
1,"PRESENCE",6.95196,46.29786
1,"PRESENCE",6.55532,46.74526
1,"PRESENCE",6.49384,46.51986
1,"PRESENCE",2.08636,49.43619
1,"PRESENCE",2.03115,49.46495
1,"PRESENCE",2.15325,49.42296
1,"PRESENCE",2.03325,49.4251
1,"PRESENCE",2.16767,49.45073
1,"PRESENCE",9.124806,49.124906
1,"PRESENCE",7.38484,48.10992
1,"PRESENCE",9.208141,49.124902
1,"PRESENCE",8.624789,49.474899
1,"PRESENCE",9.124806,49.074902
1,"PRESENCE",6.13252,47.67343
1,"PRESENCE",6.12725,47.58349
1,"PRESENCE",6.1393,43.25856
1,"PRESENCE",3.37478,49.85803
1,"PRESENCE",3.9247,49.83523
1,"PRESENCE",3.86694,49.73916
1,"PRESENCE",7.06302,44.12874
1,"PRESENCE",7.18119,44.03416
1,"PRESENCE",7.30576,44.02932
1,"PRESENCE",7.29447,44.03691
1,"PRESENCE",-0.3028,48.62016
1,"PRESENCE",7.67933,44.01397
1,"PRESENCE",7.65136,44.07167
1,"PRESENCE",7.57546,44.03836
1,"PRESENCE",7.65922,44.07256
1,"PRESENCE",7.708098,48.07488
1,"PRESENCE",7.58096,47.58942
1,"PRESENCE",7.29897,43.93946
1,"PRESENCE",4.19022,45.5242
1,"PRESENCE",4.0894,45.54921
1,"PRESENCE",4.09117,45.63925
1,"PRESENCE",4.13147,45.55664
1,"PRESENCE",4.21755,45.5479
1,"PRESENCE",1.66943,44.91623
1,"PRESENCE",0.15,40.79
1,"PRESENCE",1.54507,44.82463
1,"PRESENCE",1.41605,44.91291
1,"PRESENCE",2.07043,43.66007
1,"PRESENCE",2.32044,43.48196
1,"PRESENCE",2.06011,44.29
1,"PRESENCE",1.69044,44.01617
1,"PRESENCE",2.0541,44.65006
1,"PRESENCE",2.05861,44.38001
1,"PRESENCE",1.06,42.16
1,"PRESENCE",2.05561,44.56004
1,"PRESENCE",-2.4511488,38.3587905
1,"PRESENCE",-2.341147,38.378792
1,"PRESENCE",1.0088599,41.8488969
1,"PRESENCE",-0.401174,42.1088882
1,"PRESENCE",0.768855,41.8488944
1,"PRESENCE",0.1788418,41.8988895
1,"PRESENCE",0.218841,41.9888919
1,"PRESENCE",1.7388799,41.5888984
1,"PRESENCE",1.0288717,41.2188832
1,"PRESENCE",0.1988566,41.1088724
1,"PRESENCE",0.3188588,41.1188738
1,"PRESENCE",0.95,41.71
1,"PRESENCE",10.541513,51.824944
1,"PRESENCE",11.04153,51.024938
1,"PRESENCE",9.791496,49.824922
1,"PRESENCE",9.958164,49.824915
1,"PRESENCE",9.624822,49.824912
1,"PRESENCE",11.041529,50.974938
1,"PRESENCE",9.958165,50.724931
1,"PRESENCE",10.291508,51.124931
1,"PRESENCE",10.458178,51.274941
1,"PRESENCE",10.041503,48.424909
1,"PRESENCE",11.041529,51.474941
1,"PRESENCE",10.95819,51.62495
1,"PRESENCE",9.541486,48.424902
1,"PRESENCE",9.791498,48.574906
1,"PRESENCE",8.541455,47.974886
1,"PRESENCE",10.291509,47.974902
1,"PRESENCE",11.791558,48.924931
1,"PRESENCE",11.708218,49.224934
1,"PRESENCE",11.458212,49.474925
1,"PRESENCE",11.458211,49.624931
1,"PRESENCE",11.291543,49.074925
1,"PRESENCE",7.124746,50.474902
1,"PRESENCE",11.208202,49.624931
1,"PRESENCE",8.458119,47.874886
1,"PRESENCE",8.458118,47.974883
1,"PRESENCE",35.0805,44.8215
1,"PRESENCE",5.12653,45.01643
1,"PRESENCE",5.06474,45.06263
0,"ABSENCE",120.6262692651,31.9697187868649
0,"ABSENCE",11.2949409738434,47.5678672258589
0,"ABSENCE",45.7176765354727,41.4170669684494
0,"ABSENCE",19.236601270633,45.8733299603059
0,"ABSENCE",2.28062705593327,45.538646008085
0,"ABSENCE",11.7557163170793,47.4933443995377
0,"ABSENCE",11.5004730155771,53.1016134141097
0,"ABSENCE",-4.05567005789759,38.4543650647059
