"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",9.11254,42.22918
1,"PRESENCE",9.04786,42.35195
1,"PRESENCE",-3.8411502,36.8187494
1,"PRESENCE",-3.673831,36.76378
1,"PRESENCE",2.81124,42.53736
1,"PRESENCE",2.87195,42.62787
1,"PRESENCE",2.90545,42.66168
1,"PRESENCE",2.75006,42.6117
1,"PRESENCE",2.875,42.62563
1,"PRESENCE",6.64814,43.51274
1,"PRESENCE",6.654527,43.515388
1,"PRESENCE",6.27247,43.43468
1,"PRESENCE",6.866542,48.045467
1,"PRESENCE",6.58301,47.06324
1,"PRESENCE",6.45756,47.08339
1,"PRESENCE",6.48802,47.05418
1,"PRESENCE",2.68105,42.62477
1,"PRESENCE",2.67659,42.75354
1,"PRESENCE",2.67749,42.70052
1,"PRESENCE",2.82331,42.79891
1,"PRESENCE",2.7132,42.67224
1,"PRESENCE",2.917961,42.658154
1,"PRESENCE",2.917593,42.658207
1,"PRESENCE",-0.2,38.75
1,"PRESENCE",2.93663,42.59168
1,"PRESENCE",-0.18,38.72
1,"PRESENCE",2.71411,42.47449
1,"PRESENCE",2.98092,42.49971
1,"PRESENCE",2.75354,42.49936
1,"PRESENCE",2.70186,42.49254
1,"PRESENCE",5.88881,43.17554
1,"PRESENCE",-1.6,42.31
1,"PRESENCE",4.41888,43.7691
1,"PRESENCE",-1.6012022,42.3088801
1,"PRESENCE",-1.66,42.26
1,"PRESENCE",4.42903,43.66668
1,"PRESENCE",6.34946,43.16234
1,"PRESENCE",6.17936,43.23457
1,"PRESENCE",9.21222,42.47146
1,"PRESENCE",6.23408,43.16727
1,"PRESENCE",2.6988951,41.8689143
1,"PRESENCE",6.17638,43.25112
1,"PRESENCE",6.17607,43.25023
1,"PRESENCE",6.39051,43.341
1,"PRESENCE",6.39581,43.43088
1,"PRESENCE",6.18277,43.29055
1,"PRESENCE",-0.19,38.76
1,"PRESENCE",-0.531114,38.5088127
1,"PRESENCE",-0.2,38.8
1,"PRESENCE",-0.41,38.82
1,"PRESENCE",-0.21,38.76
1,"PRESENCE",-0.2611125,38.7488199
1,"PRESENCE",2.85949,42.74488
1,"PRESENCE",2.85857,42.71779
1,"PRESENCE",-0.3,38.68
1,"PRESENCE",2.84732,42.72639
1,"PRESENCE",2.42362,42.64434
1,"PRESENCE",2.5428,42.61127
1,"PRESENCE",2.53242,42.6629
1,"PRESENCE",2.5792,42.63728
1,"PRESENCE",2.52816,42.61867
1,"PRESENCE",-0.12,38.81
1,"PRESENCE",-0.16,38.74
1,"PRESENCE",-0.16,38.73
1,"PRESENCE",0.4888694,40.718867
1,"PRESENCE",2.5681,43.00643
1,"PRESENCE",2.72723,42.96617
1,"PRESENCE",2.74634,42.936
1,"PRESENCE",2.63647,43.00201
1,"PRESENCE",2.54446,42.8004
1,"PRESENCE",6.01162,43.17218
1,"PRESENCE",3.02706,42.49815
1,"PRESENCE",3.06073,42.49481
1,"PRESENCE",3.07895,42.49031
1,"PRESENCE",3.07903,42.43936
1,"PRESENCE",-0.4111174,38.8688207
1,"PRESENCE",-0.52,38.95
1,"PRESENCE",-3.082875,36.753372
1,"PRESENCE",-0.37,38.97
1,"PRESENCE",-0.34,38.9
1,"PRESENCE",-0.39,39.88
1,"PRESENCE",-0.3711332,39.8588406
1,"PRESENCE",-0.42,39.88
1,"PRESENCE",-0.37,39.86
1,"PRESENCE",-0.4911356,39.8588394
1,"PRESENCE",0.0488718,40.0588489
1,"PRESENCE",-0.25,39.94
1,"PRESENCE",-0.0041296,40.0788487
1,"PRESENCE",-0.28,39.83
1,"PRESENCE",-0.29,39.83
1,"PRESENCE",4.813277,44.108733
1,"PRESENCE",4.813037,44.10872
1,"PRESENCE",4.19239,44.37758
1,"PRESENCE",4.17027,44.39357
1,"PRESENCE",4.56636,44.28286
1,"PRESENCE",9.19416,41.41098
1,"PRESENCE",9.14844,41.41623
1,"PRESENCE",9.19423,41.41086
1,"PRESENCE",1.2688782,41.1288837
1,"PRESENCE",9.39893,41.7071
1,"PRESENCE",9.15968,42.51673
1,"PRESENCE",9.2936,42.52896
1,"PRESENCE",9.29143,42.53481
1,"PRESENCE",9.09169,42.49678
1,"PRESENCE",9.19581,42.65413
1,"PRESENCE",-0.6011409,40.0388419
1,"PRESENCE",-0.67,40.02
1,"PRESENCE",-0.66,40.01
1,"PRESENCE",-0.66,40.02
