"input_search","acceptedScientificName","acceptedTaxonKey","basisOfRecord","coordinateUncertaintyInMeters","country","countryCode","datasetKey","degreeOfEstablishment","establishmentMeans","individualCount","institutionCode","occurrenceStatus","publishingOrgKey","scientificName","taxonKey","taxonomicStatus","taxonRank","year","occurrence_type","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","lon","lat"
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",27,"Croatia","HR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,NA,814.007690429688,40.0027236938477,0.154582008719444,17.8169898986816,139.011901855469,61687.609375,61687.609375,79.1539993286133,194.856597900391,8,20.4770889282227,120.811576843262,4317.18115234375,123.445365905762,50.6870079040527,254.224594116211,13.600263,45.134167
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",4,"France","FR","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",804.263793945312,69.8294982910156,-0.226884007453918,13.8669004440308,107.706298828125,63185.3515625,63185.3515625,106.991203308105,185.605606079102,8.72360038757324,25.8706245422363,115.356414794922,3705.39599609375,104.227058410645,34.6047325134277,311.167205810547,8.97141,41.622056
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",693.236145019531,36.7814102172852,0.119435995817184,14.7621402740479,125.977638244629,40563.3828125,28330.080078125,47.2235984802246,122.440002441406,6,12.4599437713623,40.1094169616699,4300.03076171875,113.129188537598,19.1352310180664,135.417205810547,5.4,51.85
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",720.402099609375,31.7261486053467,0.0721919983625412,15.0915403366089,121.561958312988,42582.8515625,29608.42578125,50.7599983215332,127.70719909668,6,13.4564037322998,42.4899406433105,4401.76806640625,116.523712158203,116.523712158203,145.899993896484,5.7,50.95
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",3535,"Switzerland","CH","83fdfd3d-3a25-4705-9fbe-3db1d1892b13",NA,NA,NA,NA,"PRESENT","64ee55c9-570a-42af-b7da-3f13c6b4e5a9","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",813.77001953125,29.1028633117676,0.219916000962257,18.4241600036621,136.281524658203,35686.75390625,24420.62109375,28.6032009124756,122.031196594238,5.5,16.7262363433838,80.8440170288086,4747.7685546875,130.078964233398,31.8663120269775,84.7783966064453,6.11177,46.15616
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",31,"Montenegro","ME","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",963.848388671875,55.1468887329102,0.353577792644501,17.8283004760742,194.640518188477,63201.2421875,61072.40625,94.8733367919922,187.091781616211,8.02000045776367,28.0787162780762,141.447952270508,4719.423828125,141.447952270508,27.4619636535645,264.787994384766,19.12997,42.060106
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",1119,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",1000.20660400391,61.8637733459473,-0.352764010429382,16.9983997344971,82.4889144897461,61121.59375,61121.59375,102.769203186035,171.633605957031,8,29.0452728271484,149.374099731445,5019.072265625,149.374099731445,62.8797225952148,262.985595703125,4.699625,43.531955
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",586,"Slovenia","SI","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",803.844055175781,27.9345722198486,0.252447992563248,17.8983192443848,155.522338867188,60378.5234375,58484.109375,74.4247970581055,192.391204833984,7.50839996337891,19.2162837982178,29.8928241729736,4376.9443359375,122.810317993164,48.6676216125488,245.030395507812,13.733211,45.577824
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",142,"Germany","DE","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",730.730834960938,41.3894119262695,-0.0843000039458275,17.2128391265869,95.5636596679688,34654.73828125,19431.630859375,22.1735992431641,119.312797546387,5,12.4882402420044,43.2631721496582,4533.37646484375,118.287979125977,118.287979125977,81.2536010742188,7.771379,50.082873
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",8,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",904.923217773438,61.6150016784668,-0.256792008876801,15.4183197021484,97.5856475830078,59730.58984375,59730.58984375,102.918395996094,171.698394775391,8.19359970092773,27.9200439453125,132.415023803711,4354.74267578125,132.415023803711,36.3344993591309,270.478790283203,5.738617,43.228306
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",345,"Ukraine","UA","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",847.165405273438,56.6663665771484,-0.262818813323975,20.7336711883545,74.6943893432617,43488.7578125,27854.3515625,36.3694114685059,158.58869934082,6.17552947998047,18.8518447875977,83.3269195556641,4798.94580078125,133.572235107422,19.2781505584717,123.534233093262,34.304732,44.555805
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",2,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",995.692626953125,60.8737907409668,-0.250036001205444,16.5289611816406,95.7306137084961,59733.69921875,59733.69921875,103.220001220703,163.272796630859,7.83279991149902,29.497859954834,148.413131713867,4934.9697265625,148.413131713867,63.2016143798828,254.825607299805,3.861895,43.632725
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",13,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",965.90771484375,53.3835525512695,-0.220883995294571,17.3185005187988,94.8034286499023,53585.2734375,43140.9765625,80.586799621582,151.310394287109,7,25.2756404876709,148.212966918945,5113.46142578125,148.212966918945,59.5778694152832,206.617599487305,4.125552,44.206237
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",15,"Ukraine","UA","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",782.023315429688,47.0135231018066,-0.0147439986467361,20.6899604797363,93.5357513427734,29986.05859375,21348.89453125,11.3464002609253,132.842803955078,5.33640003204346,16.2691555023193,80.1914138793945,4567.44970703125,125.500076293945,16.4434070587158,49.7897987365723,34.162004,44.518837
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",266,"Germany","DE","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",753.769653320312,45.0870666503906,-0.177811995148659,17.4309005737305,86.5316314697266,37023.5625,21150.099609375,25.3887996673584,121.781600952148,5,12.8729562759399,44.5837707519531,4677.97802734375,122.319610595703,122.319610595703,90.0820007324219,7.903284,49.977773
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",27,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",879.723937988281,53.2390518188477,-0.128912001848221,15.9286003112793,106.418762207031,51270.703125,42929.0234375,82.03759765625,149.421203613281,6.77279996871948,25.7089195251465,130.922729492188,4376.1923828125,130.922729492188,34.2423782348633,203.970001220703,6.00981,43.588581
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",293,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",895.986999511719,56.6628608703613,-0.0889519974589348,14.3314800262451,125.346878051758,63124.01953125,63124.01953125,117.50520324707,178.583602905273,8.68159961700439,29.3987674713135,126.142303466797,4050.02124023438,113.952667236328,38.188720703125,301.561187744141,7.287438,43.725002
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",28,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",1003.26068115234,61.7609176635742,-0.302671998739243,16.5245399475098,90.0737838745117,60217.64453125,60217.64453125,102.730003356934,163.617202758789,8.38000011444092,29.0901031494141,149.654418945312,5013.90869140625,149.654418945312,62.5903129577637,257.802795410156,3.529497,43.662184
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",7,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2024,"native",904.204772949219,64.8061904907227,-0.218199998140335,14.3493194580078,108.744895935059,64209.1328125,64209.1328125,117.769996643066,180.080001831055,8.9399995803833,29.4590435028076,129.30451965332,4160.978515625,115.795501708984,37.903434753418,311.779998779297,6.017848,43.14162
